 ,Beanie,Book,BottleCap,Cap,EarBuds,FireAlarm,GlassesCase,Glove,Mask,Mic,Pen,Phone,Remote,Spoon,Umbrella,Wallet,Watch,Total,Accuracy
Glove,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,28,0.964285714
EarBuds,0,0,0,0,26,0,0,0,0,0,0,0,0,1,1,0,0,28,0.928571429
Beanie,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26,0.923076923
GlassesCase,0,0,0,0,0,0,23,0,0,0,0,2,0,0,0,0,0,25,0.92
Mask,0,0,0,0,0,0,0,0,22,0,0,2,0,0,0,0,0,24,0.916666667
Book,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0.882352941
Umbrella,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13,0,0,15,0.866666667
Mic,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,3,32,0.84375
Remote,0,1,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,19,0.842105263
Spoon,0,0,2,0,0,0,0,1,0,0,0,0,0,15,0,0,0,18,0.833333333
Wallet,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,0,20,0.8
Pen,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,1,22,0.772727273
Phone,0,0,0,0,1,0,5,0,0,0,0,22,1,0,0,0,0,29,0.75862069
Cap,0,1,2,15,0,1,0,0,0,0,0,0,0,0,0,1,0,20,0.75
FireAlarm,1,1,0,2,0,10,0,0,0,0,0,0,0,0,0,1,0,15,0.666666667
BottleCap,0,0,8,3,0,0,0,0,0,0,0,1,0,1,0,0,0,13,0.615384615
Watch,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,10,0.5
,,,,,,,,,,,,,,,,,,,0.810835775
